ID,Symbol,Side,Entry Price,Exit Price,Quantity,P&L,P&L %,Entry Time,Exit Time,Date,Emotional State,Setup Classification,Notes,Key Levels
1,BTCUSD,buy,45000.0,45500.0,0.5,250.0,1.1111111111111112,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Confident,Breakout,,
2,BTCUSD,sell,45500.0,45300.0,0.3,60.0,0.43956043956043955,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Nervous,Pullback,,
3,ETHUSD,buy,2500.0,2600.0,2.0,200.0,4.0,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Calm,Trend Following,"
ðŸ“¸ SCREENSHOTS:
- eth_chart.png


ðŸ“¸ SCREENSHOTS:
- eth_chart.png",
4,ETHUSD,sell,2600.0,2580.0,1.5,30.0,0.7692307692307693,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Excited,Reversal,"Trade Setup: Breakout

",
5,BTCUSD,buy,45300.0,46000.0,0.2,140.0,1.545253863134658,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Fearful,Range Bound,,
6,ETHUSD,buy,2580.0,2650.0,3.0,210.0,2.7131782945736433,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Patient,Scalping,,
7,BTCUSD,sell,46000.0,45800.0,0.4,80.0,0.43478260869565216,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Impulsive,Swing Trade,,
8,ETHUSD,sell,2650.0,2700.0,2.5,-125.0,-1.8867924528301887,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,Disciplined,Position Trade,,
9,BTCUSD,buy,45800.0,46500.0,0.6,420.0,1.5283842794759825,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,,,,
10,ETHUSD,buy,2700.0,2750.0,1.8,90.0,1.8518518518518516,2026-01-03 14:28:47,2026-01-03 14:28:47,2026-01-03 14:28:47,,,,
11,BTCUSDT,Long,90000.0,91000.0,0.1,100.0,1.1111111111111112,2026-01-04 13:20:01,2026-01-04 13:20:01,20260104,,,"# BTC Trade Analysis
**Setup:** Breakout above daily resistance
*Confidence Level:* High

Key factors:
- Strong volume spike
- Clean 4H chart pattern  
- MACD bullish crossover
- Stop: $89,500
- Target: $92,000


ðŸ“¸ SCREENSHOTS:
- btc_4h_chart.png
- btc_entry_screenshot.jpg


ðŸ“¸ SCREENSHOTS:
- btc_4h_chart.png
- btc_entry_screenshot.jpg",BTC Support 40k
12,BTCUSDT,Long,90000.0,91000.0,0.1,100.0,1.1111111111111112,2026-01-04 13:28:30,2026-01-04 13:28:30,20260104,,,"
Emotional State: Confident
",
